"Associated Products and Custom Options relations","Associated Products and Custom Options relations"
"Associated Products:","Associated Products:"
"By Options","By Options"
"By Values","By Values"
"Children","Children"
"Click to hide","Click to hide"
"Click to select certain values","Click to select certain values"
"Click to select entire option with all its values","Click to select entire option with all its values"
"Create new","Create new"
"Custom Options","Custom Options"
"Custom Option Images","Custom Option Images"
"Custom Options relations","Custom Options relations"
"Description","Description"
"Highlight","Highlight"
"Image","Image"
"Images and Description of Associated Products and Custom Options","Images and Description of Associated Products and Custom Options"
"Images and Description of Custom Options","Images and Description of Custom Options"
"Import Associated Products from Product (SKU):","Import Associated Products from Product (SKU):"
"Import Custom Options from Product (SKU):","Import Custom Options from Product (SKU):"
"Import from Product (SKU):","Import from Product (SKU):"
"Imported %d rows of %d","Imported %d rows of %d"
"Imported %d rows.","Imported %d rows."
"Layout","Layout"
"No","No"
"Option ids data was not found in the first row","Option ids data was not found in the first row"
"Option Relations","Option Relations"
"Parent","Parent"
"Popup","Popup"
"Product Attribute Set does not match","Product Attribute Set does not match"
"Product Attributes used for Product Association do not match","Product Attributes used for Product Association do not match"
"Product SKU ""%s"" does not exist","Product SKU ""%s"" does not exist"
"Required","Required"
"Roll Over for Preview","Roll Over for Preview"
"Roll Over for Uploader","Roll Over for Uploader"
"Select Children","Select Children"
"Select the same","Select the same"
"Selected By Default","Selected By Default"
"Skip import row, required field ""%s"" is not defined","Skip import row, required field ""%s"" is not defined"
"Skip import row, the product with SKU ""%s"" does not exist","Skip import row, the product with SKU ""%s"" does not exist"
"Too many rows to skip. Import process is stopped.","Too many rows to skip. Import process is stopped."
"Your session has been expired. Please, reload the page and upload images if necessary","Your session has been expired. Please, reload the page and upload images if necessary"
